No,name,region,address,경도,위도,상태
833,경앙사,경기 안성시,경기도 안성시 양성면 덕봉리,?,?,실패
837,월사집목판,경기 가평군,경기도 가평군 상면 태봉리,?,?,실패
838,이정구선생묘,경기 가평군,경기도 가평군 상면,?,?,실패
841,화성남양리신빈김씨묘역,경기 화성시,경기도 화성시 남양읍 남양리,?,?,실패
842,소구니산,경기 양평군,경기도 양평군 옥천면 용천리,?,?,실패
844,월산대군묘,경기 고양시,경기도 고양시 덕양구 신원동,?,?,실패
846,금주산,경기 포천시,경기도 포천시 영중면 금주리,?,?,실패
848,수덕산,경기 가평군,경기 가평군 북면 도대리,?,?,실패
850,용문산 백운봉,경기 양평군,경기도 양평군 용문면 연수리,?,?,실패
856,가덕산,경기 가평군,경기 가평군 북면,?,?,실패
857,이방실장군묘,경기 가평군,경기도 가평군 가평읍 하색리,?,?,실패
862,가평별묘,경기 가평군,경기도 가평군 설악면 방일리,?,?,실패
864,태화산(경기),경기 광주시,경기도 광주시 도척면 추곡리,?,?,실패
870,현충탑(하남),경기 하남시,경기 하남시 창우동,?,?,실패
874,가월리 · 주월리 구석기 유적,경기 파주시,경기도 파주시 적성면,?,?,실패
875,통방산,경기 가평군,경기 가평군 설악면,?,?,실패
879,호주전투기념비,경기 가평군,경기도 가평군 북면 목동리,?,?,실패
881,은대리 판상절리와 습곡구조 (한탄강 국가지질공원),경기 연천군,경기도 연천군 전곡읍 은대리,?,?,실패
891,덕진산성,경기 파주시,경기도 파주시 군내면 정자리,?,?,실패
894,벽계구곡,경기 양평군,경기도 양평군 서종면 화서로,?,?,실패
895,뉴질랜드전투기념비,경기 가평군,경기도 가평군 북면 목동리,?,?,실패
896,영창대군묘,경기 안성시,경기도 안성시 일죽면 고은리,?,?,실패
897,몽덕산,경기 가평군,경기도 가평군 북면 화악리,?,?,실패
900,중원산,경기 양평군,경기도 양평군 용문면 조계골길,?,?,실패
901,고성산,경기 안성시,경기도 안성시 양성면 덕봉리,?,?,실패
902,관음산,경기 포천시,경기도 포천시 이동면,?,?,실패
903,두현리 석조삼존불입상,경기 안성시,경기도 안성시 죽산면 두현리,?,?,실패
906,구라이골 (한탄강 국가지질공원),경기 포천시,경기도 포천시 창수면 운산리,?,?,실패
910,백운호수 생태탐방로,경기 의왕시,경기 의왕시 학의동,?,?,실패
912,안성죽산리석불입상,경기 안성시,경기도 안성시 죽산면 죽산리,?,?,실패
913,파주골 순두부촌,경기 포천시,경기도 포천시,?,?,실패
916,양성 석조여래입상,경기 안성시,경기도 안성시 양성면 구장리,?,?,실패
924,안성대농리석불입상,경기 안성시,경기도 안성시 대덕면 대농리,?,?,실패
926,캐나다전투기념비,경기 가평군,경기도 가평군 북면 이곡리,?,?,실패
927,신창리삼층석탑,경기 안성시,경기도 안성시 고삼면 신창리,?,?,실패
930,도일봉,경기 양평군,경기도 양평군 용문면 중원산로,?,?,실패
936,비봉산,경기 안성시,경기도 안성시 보개면 불현길,?,?,실패
938,안성죽산리당간지주,경기 안성시,경기도 안성시 죽산면 죽산리,?,?,실패
939,좌상바위 (한탄강 지질공원),경기 연천군,경기도 연천군 전곡읍 신답리,?,?,실패
943,안성죽산리삼층석탑,경기 안성시,경기도 안성시 죽산면 죽산리,?,?,실패
944,금광산성,경기 안성시,경기도 안성시 금광면 금광리,?,?,실패
946,물왕저수지,경기 시흥시,경기도 시흥시 물왕동,?,?,실패
949,가평의병3.1항일운동기념비,경기 가평군,경기도 가평군 가평읍 대곡리,?,?,실패
959,고동산,경기 양평군,경기 양평군 서종면,?,?,실패
961,칠장산,경기 안성시,경기 안성시 죽산면,?,?,실패
962,동막골 응회암 (한탄강 국가지질공원),경기 연천군,경기도 연천군 연천읍 동막리,?,?,실패
965,용인 석포숲공원,경기 용인시,경기도 용인시 처인구 이동읍,?,?,실패
969,용담저수지,경기 용인시,경기도 용인시 처인구 원삼면,?,?,실패
970,대부바다향기테마파크,경기 안산시,경기도 안산시 단원구 대부북동,?,?,실패
971,함왕봉,경기 양평군,경기도 양평군 옥천면 용천로,?,?,실패
975,신해철거리(성남),경기 성남시,경기도 성남시 수내동,?,?,실패
976,방아머리해수욕장,경기 안산시,경기 안산시 단원구 대부북동,?,?,실패
984,수원 공방거리,경기 수원시,경기도 수원시 팔달구 남창동,?,?,실패
