No,name,region,address,경도,위도,상태
258,도락산,충북 단양군,충청북도 단양군 단성면 가산리,?,?,실패
259,죽령폭포,충북 단양군,충청북도 단양군 대강면 죽령로,?,?,실패
267,제비봉,충북 단양군,충청북도 단양군 단성면 장회리,?,?,실패
274,수운정(단양),충북 단양군,충청북도 단양군 대강면 황정리,?,?,실패
275,박달재,충북 제천시,충청북도 제천시 봉양읍 원박리,?,?,실패
281,박달산(괴산),충북 괴산군,충청북도 괴산군 장연면,?,?,실패
285,노목계곡,충북 제천시,충청북도 제천시 봉양읍 옥전길,?,?,실패
297,충주 강천리 석불입상,충북 충주시,충청북도 충주시 앙성면 지당리,?,?,실패
307,증평 남하리 석조보살입상,충북 증평군,충청북도 증평군 증평읍 남하리,?,?,실패
311,삼가저수지,충북 보은군,충청북도 보은군 속리산면,?,?,실패
317,괴산호,충북 괴산군,충청북도 괴산군 칠성면,?,?,실패
323,두타산(충북),충북 진천군,충청북도 진천군 초평면 용정리,?,?,실패
325,운용사(충북),충북 청주시,충청북도 청주시 상당구 미원면 운용길,?,?,실패
327,청풍정,충북 옥천군,충청북도 옥천군 군북면 석호리,?,?,실패
